Script started on Mon Sep 14 18:54:18 2020
[?1034hbash-3.2$ cd Desktop
bash-3.2$ cat tucson_rain.txt | awk  -F"\t" '{ print $6, $9 }' tucson_rain.txt
readingDate quality
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Absent
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
2018-01-01 Good
